city,month,temperature,humidity,wind_speed,risk_score,risk_category
Delhi,1,27.4,16.8,11.3,5.32,Low
Patna,6,31.6,27.1,0.9,15.93,Low
Patna,7,34.9,35.1,5.8,28.53,Medium
Jaipur,5,41.3,51.8,1.6,71.17,High
Bengaluru,6,45.5,83.5,1.8,84.2,Severe
Jaipur,5,39.3,40.1,2.1,49.87,Medium
Chennai,4,41.2,55.5,2.2,71.65,High
Jaipur,5,28.8,34.6,2.3,12.62,Low
Hyderabad,5,36.0,58.2,3.4,48.7,Medium
Mumbai,1,36.4,55.8,13.6,47.08,Medium
Bengaluru,1,35.5,39.0,4.9,32.93,Medium
Bengaluru,9,25.8,37.4,5.7,7.81,Low
Chandigarh,3,30.1,30.1,7.2,12.98,Low
Chennai,10,34.6,47.5,2.8,34.71,Medium
Ahmedabad,4,40.6,72.9,24.6,70.44,High
Nagpur,6,37.6,49.6,18.8,47.04,Medium
Nagpur,6,48.9,86.3,1.6,90.23,Severe
Varanasi,3,22.1,13.0,6.5,1.52,Low
Ahmedabad,10,33.9,33.5,1.4,25.14,Medium
Nagpur,5,39.1,65.0,7.6,69.29,High
Chennai,8,38.2,33.8,4.3,40.24,Medium
Mumbai,5,34.4,57.0,4.4,39.71,Medium
Patna,6,41.7,49.1,9.1,69.81,High
Varanasi,4,40.2,54.3,0.5,68.59,High
Chennai,5,35.8,31.2,10.8,28.9,Medium
Bengaluru,4,44.0,66.3,24.7,74.54,High
Mumbai,5,38.2,43.2,13.2,45.58,Medium
Patna,7,30.3,32.9,1.0,14.89,Low
Bengaluru,2,24.0,13.2,1.6,2.37,Low
Nagpur,4,37.1,51.4,14.9,46.74,Medium
Bhopal,5,46.5,91.4,0.8,87.55,Severe
Jaipur,4,39.7,79.0,1.0,74.15,High
Mumbai,8,27.0,26.9,2.9,8.1,Low
Bhopal,1,36.9,49.5,3.0,46.24,Medium
Thiruvananthapuram,9,37.0,43.2,0.4,42.42,Medium
Jaipur,7,30.9,19.6,3.9,12.71,Low
Nagpur,3,25.9,22.1,4.5,5.11,Low
Chennai,12,34.8,44.4,29.0,29.31,Medium
Ahmedabad,4,48.1,69.9,6.3,84.89,Severe
Ahmedabad,11,24.2,17.3,6.4,2.39,Low
Mumbai,6,48.7,58.7,6.4,83.59,Severe
Chandigarh,6,44.6,46.1,5.4,74.68,High
Mumbai,6,39.2,61.0,0.4,69.85,High
Delhi,6,44.6,66.4,0.6,79.54,Severe
Patna,8,27.0,29.9,0.6,9.08,Low
Nagpur,2,36.7,41.9,2.3,39.93,Medium
Nagpur,1,39.3,37.5,0.6,48.02,Medium
Kolkata,3,35.3,34.8,1.4,30.53,Medium
Varanasi,1,23.8,10.0,4.3,1.28,Low
Chennai,9,33.6,48.6,2.5,31.34,Medium
Patna,8,35.3,47.8,4.6,37.55,Medium
Nagpur,6,49.7,63.1,2.6,86.71,Severe
Ahmedabad,4,45.6,48.5,17.4,74.76,High
Varanasi,11,34.2,52.3,1.7,36.16,Medium
Lucknow,5,41.0,46.0,1.3,63.82,High
Bengaluru,4,48.8,93.9,0.6,91.76,Severe
Nagpur,11,27.7,35.0,4.2,10.62,Low
Varanasi,11,30.1,17.6,0.2,11.65,Low
Bengaluru,5,42.3,51.0,0.3,72.83,High
Bhopal,6,22.6,26.7,3.1,4.82,Low
Lucknow,4,35.3,42.7,0.9,34.98,Medium
Thiruvananthapuram,10,29.2,28.9,6.0,11.5,Low
Lucknow,11,20.1,27.7,5.7,4.59,Low
Mumbai,9,28.0,23.6,10.8,7.72,Low
Nagpur,4,44.6,46.0,10.0,73.89,High
Hyderabad,5,43.1,46.3,12.6,71.12,High
Chandigarh,12,33.3,42.6,3.7,26.87,Medium
Patna,5,22.7,31.4,12.8,4.15,Low
Mumbai,6,43.3,48.6,11.7,72.05,High
Ahmedabad,2,39.3,31.5,4.5,42.92,Medium
Bengaluru,12,29.3,22.7,2.6,10.99,Low
Kolkata,11,29.1,13.8,1.3,9.1,Low
Thiruvananthapuram,4,37.8,31.7,5.0,37.27,Medium
Varanasi,6,44.8,71.0,2.5,80.46,Severe
Chandigarh,4,25.3,13.2,6.1,2.1,Low
Lucknow,11,25.7,28.2,9.5,5.18,Low
Jaipur,7,25.2,19.5,3.4,3.65,Low
Patna,9,39.4,37.1,14.3,45.85,Medium
Bengaluru,10,35.4,42.3,2.6,34.85,Medium
Ahmedabad,6,39.0,41.3,3.7,49.24,Medium
Hyderabad,12,21.7,31.3,6.6,5.16,Low
Chennai,8,36.0,43.7,4.4,37.86,Medium
Patna,8,38.8,31.8,5.7,40.99,Medium
Nagpur,4,40.7,69.2,9.1,72.44,High
Kolkata,5,24.6,14.0,1.3,2.58,Low
Bengaluru,6,40.4,70.7,4.2,73.08,High
Nagpur,6,39.3,61.0,10.5,68.33,High
Bengaluru,5,41.3,73.5,4.8,74.98,High
Thiruvananthapuram,11,37.7,51.1,18.7,48.83,Medium
Patna,3,36.2,30.5,0.7,31.6,Medium
Chennai,6,39.6,53.4,0.6,64.15,High
Bhopal,5,30.8,12.0,4.6,10.91,Low
Jaipur,5,39.1,76.6,4.7,72.1,High
Jaipur,5,40.4,74.1,1.2,74.26,High
Mumbai,2,34.7,59.0,0.0,43.31,Medium
Ahmedabad,5,23.1,24.7,3.1,4.42,Low
Chandigarh,2,34.6,52.1,0.0,38.07,Medium
Bengaluru,10,37.6,37.7,0.8,41.05,Medium
Chennai,5,45.3,63.8,0.6,80.14,Severe
Ahmedabad,4,41.3,65.4,7.3,72.94,High
Bhopal,7,34.1,38.3,0.4,28.19,Medium
Bhopal,6,46.3,67.3,5.3,81.66,Severe
Kolkata,8,38.7,36.7,2.5,44.56,Medium
Chandigarh,4,43.8,58.0,12.5,74.6,High
Bengaluru,2,22.4,36.7,0.7,7.22,Low
Jaipur,1,23.3,22.0,24.4,0.33,Low
Kolkata,2,27.2,33.8,6.4,9.21,Low
Lucknow,7,31.9,30.5,17.9,15.04,Low
Chennai,4,39.8,61.5,1.7,70.7,High
Mumbai,4,46.2,77.6,3.2,83.91,Severe
Delhi,5,40.5,57.6,3.9,70.67,High
Varanasi,5,37.6,41.3,24.3,39.65,Medium
Chandigarh,1,39.8,32.2,0.3,46.09,Medium
Nagpur,5,29.0,35.1,7.3,12.2,Low
Hyderabad,4,21.7,33.3,1.9,6.34,Low
Chennai,5,29.1,38.1,17.0,11.35,Low
Hyderabad,7,36.9,37.5,10.2,36.56,Medium
Ahmedabad,12,28.4,35.7,3.3,12.03,Low
Kolkata,7,27.6,21.2,4.3,7.68,Low
Hyderabad,7,20.2,18.8,8.9,2.28,Low
Mumbai,3,24.1,22.9,10.7,2.8,Low
Varanasi,5,41.4,67.3,10.6,72.93,High
Delhi,11,25.5,17.7,8.4,2.94,Low
Patna,11,37.5,42.4,3.1,43.55,Medium
Bengaluru,5,47.9,59.7,5.3,82.7,Severe
Bhopal,4,47.7,74.6,3.9,85.59,Severe
Thiruvananthapuram,6,49.5,91.6,2.6,92.09,Severe
Jaipur,5,40.0,55.9,5.9,68.32,High
Hyderabad,9,39.7,32.3,4.6,45.05,Medium
Nagpur,4,39.1,70.6,7.1,70.5,High
Jaipur,8,38.5,33.9,8.6,40.76,Medium
Mumbai,6,35.9,44.1,0.3,38.39,Medium
Lucknow,6,45.6,92.1,3.3,85.83,Severe
Chennai,8,24.1,34.1,4.7,6.04,Low
Kolkata,3,36.6,41.5,5.0,38.8,Medium
Patna,6,45.7,58.7,2.1,79.51,Severe
Bengaluru,7,34.4,54.8,10.7,37.17,Medium
Chennai,5,33.8,51.6,4.2,33.61,Medium
Jaipur,6,23.1,12.8,0.6,2.46,Low
Varanasi,1,25.2,10.9,1.8,2.2,Low
Varanasi,6,33.2,49.5,1.4,30.43,Medium
Lucknow,2,30.1,24.5,9.0,11.56,Low
Mumbai,4,44.2,55.4,1.0,76.63,Severe
Bhopal,5,49.3,68.1,0.0,87.5,Severe
Mumbai,10,37.4,33.0,5.6,36.47,Medium
Bhopal,5,47.9,93.8,7.3,89.18,Severe
Jaipur,11,36.7,51.5,5.2,46.49,Medium
Chandigarh,6,35.9,59.4,2.6,49.3,Medium
Delhi,5,36.1,50.1,6.0,42.46,Medium
Chandigarh,4,44.6,72.6,11.4,78.98,Severe
Bhopal,3,34.7,42.5,5.7,31.71,Medium
Bhopal,9,29.0,34.0,10.5,11.45,Low
Patna,9,35.8,50.3,1.5,41.98,Medium
Thiruvananthapuram,5,41.1,69.8,7.2,73.52,High
Thiruvananthapuram,2,29.5,30.5,13.2,11.1,Low
Bhopal,4,44.9,66.5,1.2,79.94,Severe
Chandigarh,5,24.1,17.8,2.9,3.08,Low
Delhi,5,40.9,75.2,5.5,74.56,High
Bhopal,6,39.2,76.7,15.0,70.56,High
Ahmedabad,12,27.6,20.9,2.1,7.99,Low
Delhi,5,39.3,39.4,5.1,48.79,Medium
Mumbai,6,35.5,38.6,4.2,32.83,Medium
Nagpur,2,34.9,34.3,5.2,28.24,Medium
Bengaluru,6,27.9,32.6,10.0,9.49,Low
Bhopal,5,38.4,35.1,10.3,40.9,Medium
Hyderabad,5,41.4,64.0,2.9,73.56,High
Varanasi,2,36.8,52.3,2.5,48.07,Medium
Patna,2,20.1,13.0,12.2,0.57,Low
Varanasi,4,39.2,52.7,0.7,61.19,High
Mumbai,5,41.5,47.2,23.4,64.12,High
Bengaluru,8,24.4,16.5,26.6,0.0,Low
Delhi,3,35.4,39.3,16.2,30.84,Medium
Thiruvananthapuram,4,46.2,84.4,2.8,85.33,Severe
Jaipur,6,24.7,11.5,3.1,1.78,Low
Bhopal,12,23.1,20.3,10.8,2.26,Low
Delhi,5,44.0,58.4,14.5,74.66,High
Lucknow,2,35.5,36.4,8.5,30.9,Medium
Kolkata,3,36.1,38.4,17.2,32.83,Medium
Hyderabad,11,20.2,12.4,2.2,2.11,Low
Lucknow,6,43.0,53.3,0.9,74.31,High
Hyderabad,5,36.6,52.9,3.6,47.39,Medium
Delhi,8,30.3,38.4,2.8,15.69,Low
Hyderabad,11,23.3,38.5,1.0,7.53,Low
Varanasi,9,22.1,15.0,3.7,2.38,Low
Varanasi,5,37.9,35.7,4.8,40.24,Medium
Bhopal,8,33.7,44.0,13.1,27.48,Medium
Kolkata,2,20.1,32.9,13.4,4.35,Low
Jaipur,11,23.6,36.7,0.1,7.32,Low
Chandigarh,6,41.5,59.7,5.3,72.46,High
Lucknow,7,39.1,31.2,9.8,41.06,Medium
Kolkata,6,25.3,37.0,12.6,5.78,Low
Chandigarh,4,44.8,75.5,2.4,81.38,Severe
Hyderabad,6,36.8,32.7,0.2,34.99,Medium
Lucknow,6,42.2,56.5,3.1,73.3,High
Thiruvananthapuram,9,33.9,56.4,4.3,37.01,Medium
Kolkata,5,41.8,75.3,16.8,74.14,High
Bhopal,10,28.6,18.1,2.3,9.0,Low
Bhopal,10,29.6,17.8,5.3,10.04,Low
Delhi,9,35.2,56.6,8.9,42.51,Medium
Nagpur,8,37.4,39.5,21.7,37.97,Medium
Kolkata,4,49.0,91.2,1.1,91.46,Severe
Mumbai,1,36.8,51.5,4.9,47.02,Medium
Patna,5,48.6,85.7,2.1,89.55,Severe
Jaipur,7,28.7,19.2,4.7,8.98,Low
Chennai,6,41.6,72.8,8.0,74.79,High
Thiruvananthapuram,6,44.6,62.8,1.0,78.75,Severe
Chennai,4,48.6,86.4,0.5,89.96,Severe
Mumbai,3,37.3,39.3,28.0,36.37,Medium
Jaipur,10,33.4,40.7,5.5,26.02,Medium
Kolkata,4,33.5,51.2,0.2,32.79,Medium
Patna,1,26.8,20.5,5.7,6.03,Low
Chennai,6,24.9,18.1,1.3,3.4,Low
Ahmedabad,7,21.6,17.0,9.3,1.85,Low
Patna,3,30.5,26.7,19.3,10.92,Low
Bengaluru,2,37.6,38.8,1.5,41.68,Medium
Ahmedabad,4,45.8,57.6,0.3,79.75,Severe
Patna,9,23.7,14.9,4.6,2.21,Low
Chandigarh,7,22.4,22.6,8.3,3.14,Low
Bengaluru,5,49.6,78.6,5.9,89.1,Severe
Lucknow,5,47.8,58.0,2.1,82.73,Severe
Thiruvananthapuram,5,40.4,53.6,18.3,66.0,High
Lucknow,5,31.4,11.5,1.0,12.37,Low
Patna,12,35.8,58.7,30.0,43.64,Medium
Mumbai,3,21.5,28.5,8.9,4.22,Low
Patna,12,36.5,47.2,5.1,42.31,Medium
Chandigarh,1,20.9,36.9,9.5,5.8,Low
Nagpur,6,42.1,66.7,13.8,73.4,High
Lucknow,6,48.9,78.8,11.1,87.15,Severe
Nagpur,6,44.1,91.0,1.5,83.51,Severe
Varanasi,5,47.6,65.4,3.9,83.59,Severe
Jaipur,9,34.4,30.3,1.7,25.35,Medium
Varanasi,6,49.8,81.2,0.8,90.79,Severe
Delhi,7,28.4,33.0,15.9,9.39,Low
Lucknow,4,20.1,34.8,9.7,5.34,Low
Chandigarh,6,41.5,60.2,0.0,73.44,High
Hyderabad,4,39.4,75.6,2.0,72.83,High
Thiruvananthapuram,10,35.8,33.1,10.9,29.84,Medium
Thiruvananthapuram,6,31.6,35.7,0.8,18.81,Low
Lucknow,6,39.4,51.3,5.9,60.0,High
Thiruvananthapuram,4,26.8,32.9,12.6,7.36,Low
Bhopal,3,33.5,53.7,1.5,34.04,Medium
Bhopal,12,38.7,33.8,8.4,41.51,Medium
Patna,6,20.4,17.7,3.7,2.92,Low
Bhopal,4,41.4,58.4,21.7,69.3,High
Patna,11,36.2,48.2,1.3,42.32,Medium
Nagpur,3,35.2,38.9,7.9,31.25,Medium
Patna,2,33.7,44.8,7.2,28.89,Medium
Delhi,6,37.8,42.5,6.3,44.4,Medium
Mumbai,10,37.4,42.4,11.8,41.67,Medium
Bhopal,9,33.8,54.8,1.7,35.98,Medium
Mumbai,5,44.4,79.1,18.8,78.73,Severe
Patna,6,20.9,38.7,1.7,7.46,Low
Bhopal,4,39.4,35.7,9.8,45.51,Medium
Varanasi,10,31.8,25.5,1.8,15.86,Low
Lucknow,11,37.9,47.9,4.0,49.54,Medium
Mumbai,11,37.4,42.9,2.0,43.67,Medium
Kolkata,4,44.9,84.0,0.1,83.62,Severe
Patna,4,27.5,14.4,10.4,5.15,Low
Chandigarh,8,36.2,50.1,2.3,43.54,Medium
Patna,5,40.8,53.0,1.7,70.41,High
Chennai,7,28.3,11.9,4.3,6.94,Low
Thiruvananthapuram,5,48.7,81.9,1.8,89.0,Severe
Thiruvananthapuram,6,25.6,24.6,16.4,3.15,Low
Mumbai,9,39.1,32.1,11.6,41.37,Medium
Jaipur,8,23.8,17.2,1.5,3.19,Low
Lucknow,8,31.6,38.7,1.7,19.77,Low
Ahmedabad,5,35.0,31.6,9.5,26.59,Medium
Jaipur,8,34.3,31.9,3.3,25.44,Medium
Chandigarh,10,36.7,50.5,6.1,45.55,Medium
Delhi,7,35.0,57.3,2.2,43.17,Medium
Delhi,1,21.3,20.6,2.0,3.79,Low
Ahmedabad,5,44.5,61.3,0.4,78.39,Severe
Ahmedabad,11,36.4,48.1,2.4,42.96,Medium
Mumbai,10,22.3,23.4,10.6,2.91,Low
Nagpur,5,41.0,68.0,1.9,73.88,High
Bengaluru,10,29.2,34.2,0.8,13.43,Low
Delhi,1,37.8,45.2,4.6,46.78,Medium
Varanasi,1,35.7,55.1,6.3,44.25,Medium
Delhi,7,33.2,56.1,4.8,33.62,Medium
Ahmedabad,4,39.3,46.7,2.0,55.68,High
Bhopal,6,23.6,37.0,5.9,6.42,Low
Varanasi,2,37.1,48.5,3.1,46.38,Medium
Patna,7,35.6,37.9,8.6,32.08,Medium
Varanasi,9,33.7,43.4,7.9,28.04,Medium
Lucknow,4,39.3,74.3,4.0,72.07,High
Nagpur,10,22.2,13.2,10.1,0.96,Low
Jaipur,4,39.4,55.3,2.1,64.79,High
Jaipur,1,22.7,38.9,0.1,7.76,Low
Chandigarh,6,41.4,61.9,8.4,72.22,High
Mumbai,9,22.6,15.6,9.1,1.6,Low
Mumbai,11,27.6,22.5,0.9,8.51,Low
Varanasi,5,33.6,45.4,1.6,29.76,Medium
Mumbai,12,21.5,16.2,0.0,3.24,Low
Chennai,4,40.5,69.8,16.4,71.03,High
Patna,3,26.9,33.1,0.3,9.61,Low
Patna,8,25.5,21.9,3.4,4.61,Low
Patna,9,20.7,20.9,7.7,2.9,Low
Hyderabad,5,35.2,41.2,3.8,33.22,Medium
Lucknow,7,37.2,38.9,13.1,38.18,Medium
Nagpur,10,35.0,38.9,2.9,31.34,Medium
Chandigarh,6,43.2,46.8,11.8,71.51,High
Varanasi,2,20.3,29.6,2.4,5.52,Low
Chennai,6,47.5,57.0,5.1,81.55,Severe
Patna,4,26.9,22.5,11.3,5.66,Low
Nagpur,4,39.8,48.4,16.9,57.39,High
Ahmedabad,5,42.0,53.5,2.4,72.5,High
Delhi,5,34.1,51.0,15.7,32.6,Medium
Nagpur,5,47.6,89.1,0.2,88.95,Severe
Mumbai,4,40.6,52.1,3.3,67.96,High
Delhi,12,20.8,27.5,2.5,5.08,Low
Varanasi,1,37.1,50.2,9.8,46.61,Medium
Varanasi,10,35.1,36.4,0.2,30.83,Medium
Ahmedabad,11,35.8,36.8,0.1,33.62,Medium
Ahmedabad,10,34.7,51.1,0.6,37.76,Medium
Patna,8,38.4,36.2,7.5,42.14,Medium
Varanasi,6,39.6,64.0,0.6,71.06,High
Nagpur,4,39.5,67.2,9.9,69.99,High
Mumbai,3,36.4,45.0,2.3,40.78,Medium
Kolkata,11,27.2,36.0,17.6,7.79,Low
Mumbai,6,48.9,81.2,3.0,88.98,Severe
Varanasi,9,27.3,20.7,4.6,7.05,Low
Patna,2,37.7,46.4,3.1,47.52,Medium
Chennai,5,37.6,47.4,4.5,47.62,Medium
Bengaluru,6,41.4,45.8,1.9,65.62,High
Ahmedabad,6,45.8,79.0,1.9,83.76,Severe
Bhopal,6,24.0,32.3,3.2,5.93,Low
Chandigarh,1,37.4,40.9,11.5,40.65,Medium
Lucknow,6,34.6,48.2,3.1,35.09,Medium
Varanasi,6,44.5,46.1,5.3,74.54,High
Thiruvananthapuram,5,46.7,73.5,1.0,84.25,Severe
Kolkata,4,41.8,47.6,2.7,69.69,High
Patna,6,44.1,77.2,7.9,79.68,Severe
Kolkata,5,39.9,51.1,1.1,63.32,High
Chandigarh,10,31.7,14.8,2.6,13.25,Low
Mumbai,9,21.1,20.3,2.0,3.73,Low
Chennai,5,48.4,61.6,1.3,84.54,Severe
Thiruvananthapuram,5,41.3,55.9,8.3,70.88,High
Mumbai,1,36.7,42.3,1.9,40.27,Medium
Kolkata,5,41.6,48.4,1.5,69.7,High
Jaipur,1,34.8,47.5,3.5,35.42,Medium
Kolkata,4,48.3,56.2,0.3,83.47,Severe
Varanasi,3,34.6,47.7,15.4,32.73,Medium
Lucknow,6,45.0,94.2,0.6,85.74,Severe
Ahmedabad,6,41.8,68.0,10.6,73.71,High
Chennai,2,36.7,54.2,9.4,47.98,Medium
Nagpur,4,26.6,27.9,12.3,6.09,Low
Jaipur,1,38.9,39.3,28.9,42.99,Medium
Patna,6,45.1,59.5,3.2,78.53,Severe
Mumbai,5,41.8,68.3,16.3,72.82,High
Jaipur,5,40.6,66.8,0.1,73.3,High
Jaipur,5,46.1,84.6,0.9,85.53,Severe
Chennai,6,25.3,16.3,0.3,3.69,Low
Kolkata,4,40.6,62.8,6.5,71.44,High
Varanasi,9,37.9,33.6,1.7,39.38,Medium
Nagpur,6,43.2,49.3,4.2,73.28,High
Nagpur,4,48.9,59.3,2.0,84.77,Severe
Varanasi,6,39.8,45.6,0.7,57.36,High
Chennai,6,24.6,29.8,3.5,5.38,Low
Jaipur,9,27.6,11.5,1.8,6.16,Low
Jaipur,2,34.2,55.8,3.1,38.19,Medium
Ahmedabad,4,31.1,25.1,2.4,14.38,Low
Chennai,6,38.9,33.8,0.6,43.61,Medium
Delhi,11,35.7,41.2,1.7,35.53,Medium
Nagpur,9,35.4,58.9,14.5,44.33,Medium
Hyderabad,11,37.9,38.0,30.0,37.61,Medium
Bengaluru,2,38.9,42.5,8.7,48.95,Medium
Bengaluru,7,23.6,37.7,21.3,3.99,Low
Chandigarh,11,28.6,15.8,3.8,8.29,Low
Jaipur,5,41.3,55.6,3.2,71.67,High
Mumbai,2,28.4,14.6,10.2,6.66,Low
Bhopal,12,36.0,37.2,5.8,33.65,Medium
Chandigarh,1,23.7,14.2,5.7,1.89,Low
Nagpur,1,30.2,14.1,7.4,9.91,Low
Kolkata,6,33.1,54.5,2.1,32.7,Medium
Nagpur,12,35.8,42.9,1.5,37.01,Medium
Bhopal,2,34.8,41.4,2.6,32.0,Medium
Jaipur,4,39.5,53.7,5.1,63.16,High
Patna,6,42.1,57.6,5.0,73.05,High
Kolkata,6,36.4,45.0,1.6,40.89,Medium
Thiruvananthapuram,9,35.4,39.5,18.8,30.52,Medium
Hyderabad,6,33.3,51.2,11.4,30.1,Medium
Kolkata,4,45.3,85.8,3.6,84.04,Severe
Jaipur,6,41.0,58.2,10.1,70.56,High
Patna,10,24.4,38.1,1.9,7.3,Low
Mumbai,12,28.3,35.1,12.1,10.28,Low
Chennai,7,37.4,35.2,1.8,38.46,Medium
Hyderabad,5,22.6,30.5,0.5,6.02,Low
Bhopal,7,31.6,22.5,24.9,10.91,Low
Jaipur,3,34.4,59.2,1.0,41.82,Medium
Lucknow,6,48.2,70.0,0.4,86.05,Severe
Nagpur,3,37.2,35.6,13.1,36.05,Medium
Thiruvananthapuram,5,30.5,17.5,1.8,12.0,Low
Delhi,5,42.4,61.9,2.3,74.84,High
Patna,6,25.1,33.8,0.2,6.89,Low
Nagpur,3,38.2,48.8,25.8,48.14,Medium
Patna,4,42.5,61.1,1.6,74.95,High
Thiruvananthapuram,2,40.0,34.6,11.9,46.81,Medium
Bhopal,9,36.1,37.3,4.5,34.3,Medium
Bengaluru,2,35.7,53.5,4.1,43.41,Medium
Nagpur,1,27.3,36.4,12.9,8.81,Low
Thiruvananthapuram,10,29.1,25.0,4.7,10.78,Low
Nagpur,8,30.1,33.1,0.4,14.71,Low
Thiruvananthapuram,2,29.1,28.8,0.8,12.19,Low
Ahmedabad,2,36.1,42.3,3.4,37.54,Medium
Nagpur,3,25.7,27.6,4.7,5.86,Low
Nagpur,6,26.9,18.2,0.5,6.6,Low
Thiruvananthapuram,7,29.7,11.6,1.0,9.67,Low
Chandigarh,4,45.8,74.0,0.3,83.03,Severe
Patna,5,47.2,91.6,8.7,87.39,Severe
Nagpur,12,28.0,36.5,10.1,10.42,Low
Jaipur,10,36.8,30.2,0.6,33.55,Medium
Chandigarh,8,37.5,51.9,15.0,49.13,Medium
Nagpur,10,33.7,39.9,0.5,27.53,Medium
Lucknow,10,39.1,40.8,5.5,48.98,Medium
Patna,12,38.4,40.0,10.7,44.39,Medium
Hyderabad,5,28.8,25.9,2.0,10.93,Low
Bengaluru,5,39.7,54.3,0.8,65.65,High
Delhi,4,40.8,50.7,3.1,67.55,High
Patna,12,28.0,23.4,4.0,8.81,Low
Chennai,6,40.8,46.7,4.9,62.9,High
Bhopal,4,40.8,74.3,1.1,74.96,High
Bengaluru,6,47.1,70.2,0.8,84.27,Severe
Thiruvananthapuram,1,37.5,47.6,1.6,47.79,Medium
Ahmedabad,7,33.5,44.0,1.6,28.65,Medium
Thiruvananthapuram,12,28.9,35.7,16.8,10.58,Low
Mumbai,6,35.5,56.7,5.4,44.64,Medium
Hyderabad,1,33.3,41.6,1.0,26.84,Medium
Delhi,4,46.5,74.4,7.9,82.96,Severe
Varanasi,4,39.4,80.0,7.1,72.86,High
Varanasi,6,28.5,17.5,2.4,8.7,Low
Hyderabad,5,49.7,85.6,10.2,89.94,Severe
Lucknow,2,33.9,48.4,1.3,32.63,Medium
Thiruvananthapuram,4,47.8,60.2,0.8,83.39,Severe
Varanasi,9,31.4,19.9,4.8,13.42,Low
Chandigarh,2,22.9,12.8,1.2,2.36,Low
Patna,7,28.1,32.8,0.1,11.5,Low
Bhopal,7,28.2,15.4,4.5,7.45,Low
Nagpur,4,47.3,74.4,7.6,84.29,Severe
Hyderabad,9,25.8,20.0,9.4,3.71,Low
Nagpur,6,35.8,47.4,17.7,37.26,Medium
Mumbai,2,36.5,55.7,0.7,49.66,Medium
Nagpur,4,40.2,45.6,5.6,58.56,High
Varanasi,4,39.5,45.1,2.9,55.04,High
Hyderabad,5,42.9,69.3,20.7,74.05,High
Bhopal,10,38.8,42.8,1.9,49.87,Medium
Hyderabad,7,35.3,54.5,0.2,42.9,Medium
Thiruvananthapuram,3,29.9,38.5,7.8,14.24,Low
Nagpur,9,37.5,34.9,0.2,38.92,Medium
Jaipur,6,36.7,31.9,1.4,33.98,Medium
Bhopal,6,43.9,45.6,0.9,74.21,High
Lucknow,12,26.3,16.5,27.3,0.83,Low
Chandigarh,1,24.5,32.5,3.0,6.0,Low
Hyderabad,10,34.0,43.9,8.9,29.27,Medium
Jaipur,5,37.0,35.4,0.6,37.25,Medium
Thiruvananthapuram,4,23.6,33.4,3.8,6.05,Low
Varanasi,6,41.5,60.1,3.0,72.92,High
Nagpur,4,39.5,58.4,8.3,67.74,High
Bengaluru,5,40.6,54.7,0.3,70.85,High
Jaipur,3,25.2,35.5,2.7,6.97,Low
Thiruvananthapuram,4,43.7,53.3,4.2,74.88,High
Ahmedabad,4,41.5,59.0,13.2,71.0,High
Ahmedabad,5,40.6,64.2,7.4,71.57,High
Thiruvananthapuram,1,33.5,49.2,16.8,28.89,Medium
Varanasi,3,30.6,29.4,2.0,14.51,Low
Ahmedabad,12,37.1,48.3,1.0,46.57,Medium
Delhi,6,44.7,72.5,1.8,80.72,Severe
Kolkata,10,22.0,36.4,4.9,6.46,Low
Chandigarh,5,41.0,58.9,11.0,70.55,High
Chandigarh,10,36.7,40.6,9.6,37.85,Medium
Kolkata,4,47.1,83.2,2.8,86.53,Severe
Mumbai,3,26.2,12.5,25.0,0.25,Low
Chandigarh,6,41.3,69.9,4.3,74.34,High
Hyderabad,7,35.6,44.9,2.5,37.29,Medium
Kolkata,6,38.8,42.5,0.5,49.86,Medium
Jaipur,12,29.6,14.8,4.6,9.55,Low
Bhopal,5,43.3,45.8,30.0,68.44,High
Delhi,1,37.8,46.4,7.2,47.3,Medium
Varanasi,4,46.0,92.9,2.1,86.83,Severe
Lucknow,2,35.6,55.8,1.5,45.1,Medium
Patna,6,42.3,53.2,27.1,68.8,High
Delhi,3,26.9,23.2,7.8,6.38,Low
Delhi,5,39.8,78.9,1.5,74.21,High
Ahmedabad,5,42.3,61.1,30.0,69.9,High
Nagpur,12,39.8,38.4,18.4,47.97,Medium
Delhi,5,39.9,58.2,0.9,70.33,High
Bengaluru,5,39.8,56.2,1.2,68.25,High
Varanasi,7,29.3,28.7,5.6,11.69,Low
Lucknow,3,35.5,32.5,7.7,29.02,Medium
Hyderabad,2,26.0,30.7,1.7,7.46,Low
Chennai,6,41.6,47.4,5.3,67.92,High
Bengaluru,6,41.5,53.4,1.5,71.83,High
Ahmedabad,5,39.2,66.6,3.2,70.51,High
Thiruvananthapuram,2,20.3,22.1,30.0,0.0,Low
Varanasi,2,24.5,28.1,0.5,5.54,Low
Jaipur,4,39.4,52.2,3.9,61.25,High
Ahmedabad,3,34.0,40.4,3.0,28.43,Medium
Bengaluru,5,41.7,45.4,2.6,66.66,High
Delhi,5,20.5,23.5,5.2,3.83,Low
Hyderabad,5,40.3,60.1,8.5,70.08,High
Nagpur,4,44.3,87.4,8.2,81.99,Severe
Patna,5,22.4,11.9,0.3,2.33,Low
Chandigarh,4,40.6,45.8,2.5,61.32,High
Thiruvananthapuram,3,24.6,39.5,3.8,7.27,Low
Mumbai,8,26.6,18.2,13.9,3.88,Low
Bhopal,4,36.5,40.0,0.4,38.19,Medium
Bengaluru,12,21.9,11.3,0.7,2.14,Low
